article_id,year,corpus,article_type
1099235,2015,news,news
1099234,2015,news,news
1099282,2015,news,news
1099241,2015,news,news
1099250,2015,opinions,op-ed
1099232,2015,opinions,column
1099233,2015,opinions,column
1099253,2015,opinions,column
1099337,2015,news,news
1099368,2015,news,news
1099348,2015,news,news
1099344,2015,news,news
1099347,2015,news,news
1099354,2015,opinions,column
1099355,2015,opinions,op-ed
1099357,2015,opinions,opinion
1099356,2015,opinions,op-ed
1099350,2015,news,news
1099358,2015,news,news
1099441,2015,news,news
1099452,2015,news,news
1099408,2015,news,news
1099451,2015,opinions,column
1099440,2015,opinions,op-ed
1099449,2015,opinions,column
1099240,2015,news,news
1099515,2015,opinions,op-ed
1099526,2015,news,news
1099529,2015,news,news
1099516,2015,news,news
1099522,2015,news,news
1099525,2015,opinions,column
1099524,2015,opinions,column
1099450,2015,opinions,op-ed
1099510,2015,opinions,column
1099639,2015,news,news
1099619,2015,opinions,column
1099616,2015,opinions,op-ed
1099620,2015,opinions,column
1099653,2015,news,news
1099628,2015,news,news
1099682,2015,opinions,column
1099726,2015,news,news
1099733,2015,news,news
1099721,2015,opinions,editorial
1099658,2015,news,news
1099709,2015,news,news
1099681,2015,opinions,op-ed
1099680,2015,opinions,column
1099719,2015,news,news
1099678,2015,news,news
1099816,2015,opinions,column
1099809,2015,news,news
1099818,2015,opinions,column
1099808,2015,news,news
1099814,2015,news,news
1099803,2015,news,news
1099812,2015,news,news
1099817,2015,opinions,column
1100006,2015,opinions,column
1099988,2015,opinions,column
1099984,2015,news,news
1099983,2015,news,news
1099990,2015,news,news
1100045,2015,news,news
1100035,2015,opinions,column
1100056,2015,opinions,op-ed
1100033,2015,opinions,op-ed
1100062,2015,news,news
1100046,2015,opinions,column
1100085,2015,news,news
1100001,2015,news,news
1099982,2015,news,news
1100026,2015,news,news
1100106,2015,news,news
1100127,2015,news,news
1100143,2015,news,news
1100094,2015,news,news
1100117,2015,opinions,op-ed
1100109,2015,opinions,column
1100111,2015,news,news
1100113,2015,news,news
1100186,2015,news,news
1100184,2015,opinions,op-ed
1100219,2015,opinions,column
1100183,2015,opinions,op-ed
1100204,2015,opinions,column
1100180,2015,news,news
1100226,2015,news,news
1100194,2015,news,news
1100214,2015,news,news
1100300,2015,opinions,column
1100285,2015,opinions,column
1100315,2015,news,news
1100314,2015,news,news
1100303,2015,news,news
1100283,2015,news,news
1100391,2015,opinions,column
1100390,2015,opinions,column
1100373,2015,opinions,column
1100399,2015,news,news
1100378,2015,news,news
1100302,2015,news,news
1100376,2015,news,news
1100374,2015,news,news
1100428,2015,news,news
1100446,2015,news,news
1100429,2015,news,news
1100450,2015,news,news
1100437,2015,opinions,column
1100438,2015,opinions,column
1100436,2015,news,news
1100494,2015,opinions,op-ed
1100540,2015,opinions,column
1100516,2015,opinions,column
1100522,2015,news,news
1100527,2015,news,news
1100574,2015,news,news
1100505,2015,news,news
1100506,2015,opinions,column
1100659,2015,news,news
1100590,2015,news,news
1100617,2015,news,news
1100604,2015,opinions,column
1100611,2015,opinions,column
1100608,2015,opinions,op-ed
1100594,2015,news,news
1100598,2015,news,news
1100694,2015,opinions,column
1100672,2015,news,news
1100673,2015,news,news
1100685,2015,news,news
1100691,2015,opinions,column
1100718,2015,news,news
1100692,2015,news,news
1100709,2015,opinions,column
1100684,2015,news,news
1100804,2015,opinions,column
1100792,2015,news,news
1100788,2015,news,news
1100706,2015,news,news
1100801,2015,opinions,column
1100803,2015,news,news
1100841,2015,news,news
1100847,2015,news,news
1100861,2015,news,news
1100836,2015,opinions,column
1100837,2015,opinions,column
1100835,2015,opinions,opinion
1100902,2015,news,news
1100903,2015,opinions,column
1100904,2015,opinions,op-ed
1100899,2015,news,news
1100908,2015,news,news
1100937,2015,news,news
1100906,2015,news,news
1100925,2015,news,news
1100997,2015,opinions,column
1100979,2015,opinions,column
1100983,2015,news,other
1100974,2015,news,news
1100989,2015,news,news
1101047,2015,news,news
1101071,2015,news,news
1101089,2015,news,news
1101075,2015,opinions,column
1101069,2015,news,news
1101139,2015,news,news
1101161,2015,news,news
1101065,2015,news,news
1101141,2015,news,news
1101132,2015,opinions,column
1101133,2015,opinions,column
1101209,2015,opinions,column
1101208,2015,opinions,column
1101207,2015,opinions,column
1101214,2015,news,news
1101215,2015,news,news
1101213,2015,news,news
1101140,2015,news,news
1101292,2015,opinions,op-ed
1101288,2015,opinions,column
1101301,2015,news,news
1101304,2015,news,news
1101218,2015,news,news
1101362,2015,opinions,column
1101319,2015,news,news
1101354,2015,news,news
1101360,2015,opinions,column
